Portfolio WBS,Quantity,UOM,BAC,BAC Rate,Planned Quantity,Planned Value,Actual Cost,Month,predicted_DT,predicted_RF,predicted_LR,predicted_SVM
57,2605.0,m3,138016.52,52.98,161.0,8530.0,59700.7,August,36434.42,40404.41,49627.06,36925.84
61,12767.0,m2,23173.55,1.82,735.0,1334.11,1550.25,November,2852.72,5309.94,-422.15,3849.73
61,12767.0,m2,23173.55,1.82,790.0,1433.94,1587.13,March,2852.72,3023.95,-2959.38,2077.92
62,11525.0,tonne,282664.29,24.53,500.0,12263.09,25117.31,November,15290.35,22284.11,22879.31,17450.32
62,11525.0,tonne,282664.29,24.53,200.0,4905.24,15107.83,December,9318.44,15599.46,15366.63,10894.21
62,11525.0,tonne,282664.29,24.53,1000.0,24526.19,15316.08,January,26663.16,25388.72,24098.31,22985.7
62,11525.0,tonne,282664.29,24.53,800.0,19620.95,17254.65,February,26663.16,20025.16,16474.68,19593.84
62,11525.0,tonne,282664.29,24.53,1000.0,24526.19,33383.18,March,26663.16,28000.58,28860.48,24595.32
62,11525.0,tonne,282664.29,24.53,1600.0,39241.9,42286.67,April,26663.16,38334.9,41860.38,31787.65
62,11525.0,tonne,282664.29,24.53,2900.0,71125.94,42020.2,May,54283.13,49116.75,49186.74,48220.44
62,11525.0,tonne,282664.29,24.53,1000.0,24526.19,35416.67,June,26663.16,27050.0,27120.12,24240.66
62,11525.0,tonne,282664.29,24.53,1500.0,36789.28,31059.98,July,26663.16,37790.03,42376.28,31122.36
62,11525.0,tonne,282664.29,24.53,525.0,12876.25,72205.21,August,15290.35,19327.37,18591.58,15403.43
63,15532.0,m2,39993.79,2.57,2400.0,6179.83,6828.71,March,6156.67,6735.18,4780.78,5363.55
63,15532.0,m2,39993.79,2.57,945.6,2434.85,16016.95,April,6156.67,12832.36,13775.45,9708.76
63,15532.0,m2,39993.79,2.57,3332.4,8580.69,5928.9,May,10658.13,8943.24,5871.65,8775.24
63,15532.0,m2,39993.79,2.57,1200.0,3089.91,10177.38,June,6156.67,8454.29,7964.34,6825.61
63,15532.0,m2,39993.79,2.57,1500.0,3862.39,819.15,July,6156.67,4077.7,652.06,3729.42
